Compound Name	Proportion	Count	Total	Score	Truth	Rank
D-fructose minor	0	0	950	Normal	True Negative	5
D-galactose	0	0	700	Normal	True Negative	5
D-glucose major	0.1925	154	800	Normal	True Negative	5
D-glucose minor	0.2667	200	750	Normal	True Negative	5
D-mannose	0	0	550	Normal	True Negative	5
ethanolamine	0.38	627	1650	Normal	True Negative	5
glycine	0	0	550	Normal	True Negative	5
L-aspartic acid	0	0	200	Normal	True Negative	5
L-cysteine	0	0	300	Normal	True Negative	5
L-glutamic acid	0	0	350	Normal	True Negative	5
L-glutamine minor 2	0	0	450	Normal	True Negative	5
L-isoleucine	0.1538	100	650	Normal	True Negative	5
L-leucine	0.25	100	400	Normal	True Negative	5
L-lysine	0	0	650	Normal	True Negative	5
L-methionine	0	0	350	Normal	True Negative	5
L-phenylalanine	0	0	250	Normal	True Negative	5
L-proline	0.1538	100	650	Normal	True Negative	5
L-pyroglutamic acid	0	0	250	Normal	True Negative	5
L-serine	0	0	100	Normal	True Negative	5
L-threonine	0	0	100	Normal	True Negative	5
L-tyrosine major	0	0	850	Normal	True Negative	5
L-tyrosine minor	0.2743	96	350	Normal	True Negative	5
lactic acid	0.14	14	100	Normal	True Negative	5
oxalic acid	0	0	800	Normal	True Negative	5
phosphoric acid	0.6283	7917	12600	Gamma	True Positive	1
propylene glycol	0.8477	1865	2200	Gamma	True Positive	1
myristic acid	0	0	10700	Gamma	True Positive	1
2-hydroxybutyric acid	0.3065	4000	13050	Gamma	True Positive	1
uracil	0.4699	1950	4150	Gamma	True Positive	1
uric acid 1	0.3194	511	1600	Gamma	True Positive	1
urea	0.0323	134	4150	Gamma	True Positive	1
isocitric acid	0.1271	216	1700	Gamma	True Positive	1
galactonic acid	0.3595	665	1850	Gamma	True Positive	1
2-ketocaproic acid	0	0	2350	Gamma	True Positive	1
glycine-d5 deuterated	0	0	1600	Gamma	True Positive	1
catechol	0.6427	1414	2200	Gamma	True Positive	1
glyceric acid	0.57	8521	14950	Gamma	True Positive	1
citramalic acid	0	0	3000	Gamma	True Positive	1
trans-aconitic acid	0.4417	2650	6000	Gamma	True Positive	1
fumaric acid	0.1345	343	2550	Gamma	True Positive	1
oleic acid	0.16	240	1500	Gamma	True Positive	1
hippuric acid 2	0.0956	153	1600	Gamma	True Positive	1
linoleic acid	0.086	129	1500	Gamma	True Positive	1
stearic acid	0.4507	676	1500	Gamma	True Positive	1
Creatinine	0.0619	901	14550	Gamma	True Positive	1
D-mannitol	0.2509	3400	13550	Gamma	True Positive	1
DL-3-aminoisobutyric acid 2	0	0	1950	Gamma	True Positive	1
norvaline 2	0.0431	138	3200	Gamma	True Positive	1
7-methylxanthine	0.3875	1027	2650	Gamma	True Positive	1
xylitol	0.0012	17	13900	Gamma	True Positive	1
glycerol	0.0603	754	12500	Gamma	True Positive	1
carbonate ion	0.192	2054	10700	Gamma	True Positive	1
iminodiacetic acid 2	0.0533	80	1500	Gamma	True Positive	1
myo-inositol	0.6923	8100	11700	Gamma	True Positive	1
scyllo-inositol	0.2187	2734	12500	Gamma	True Positive	1
arabitol	0.0071	15	2100	Gamma	True Positive	1
palmitic acid	0.4438	2130	4800	Gamma	True Positive	1
galactitol	0.5757	6592	11450	Gamma	True Positive	1
D-gluconic acid 3	0.475	1045	2200	Gamma	True Positive	1
erythritol	0.1793	2627	14650	Gamma	True Positive	1
D-threitol	0.0146	205	14000	Gamma	True Positive	1
D-saccharic acid	0.5938	950	1600	Gamma	True Positive	1
D-galacturonic acid 1(M)	0.1529	237	1550	Gamma	True Positive	1
IS benzoic acid d5	0.0208	270	12950	Gamma	True Positive	1
IS citric acid d4	0	0	2950	Gamma	True Positive	1
IS D-fructose 13C6 1(M)	0.0421	120	2850	Gamma	True Positive	1
IS D-fructose 13C6 2	0.0227	50	2200	Gamma	True Positive	1
IS L-alanine d7	0.8131	11180	13750	Gamma	True Positive	1
IS octanoic acid d15	0	0	12700	Gamma	True Positive	1
IS L-tryptophan d5 1	2e-04	1	4400	Gamma	True Positive	1
IS L-tryptophan d5 2	0.0942	1394	14800	Gamma	True Positive	1
N-formylglycine 2	0.3077	477	1550	Gamma	True Positive	1
6-hydroxy-alpha-methylnaphthaleneacetic acid	0	0	1500	Gamma	True Positive	1
D-ribose	0.037	137	3700	Gamma	True Positive	1
D-xylose 2	0.2692	1346	5000	Gamma	True Positive	1
D-arabinose	0.3491	1571	4500	Gamma	True Positive	1
D-lyxose 2	0	0	10400	Gamma	True Positive	1
lactose 2	0	0	1600	Gamma	True Positive	1
ribitol	0.131	629	4800	Gamma	True Positive	1
4-hydroxyphenylacetic acid	0.0164	32	1950	Gamma	True Positive	1
citric acid	0.0023	29	12800	Gamma	True Positive	1
D-fructose major	0.0054	71	13150	Gamma	True Positive	1
D-fructose minor	0.0829	232	2800	Gamma	True Positive	1
D-galactose	0.1482	452	3050	Gamma	True Positive	1
D-glucose major	0.0919	767	8350	Gamma	True Positive	1
D-glucose minor	0.0165	250	15150	Gamma	True Positive	1
D-mannose	0.1838	432	2350	Gamma	True Positive	1
ethanolamine	0.0375	459	12250	Gamma	True Positive	1
glycine	0.1978	1543	7800	Gamma	True Positive	1
L-alanine	0.5312	6268	11800	Gamma	True Positive	1
L-aspartic acid	0	0	1600	Gamma	True Positive	1
L-cysteine	0.0185	36	1950	Gamma	True Positive	1
L-glutamic acid	0.5367	3113	5800	Gamma	True Positive	1
L-glutamine major	0.1818	2755	15150	Gamma	True Positive	1
L-glutamine minor 2	0.1171	1399	11950	Gamma	True Positive	1
L-isoleucine	0.0492	827	16800	Gamma	True Positive	1
L-leucine	0	0	12350	Gamma	True Positive	1
L-lysine	0.0448	74	1650	Gamma	True Positive	1
L-methionine	0.6615	2150	3250	Gamma	True Positive	1
L-ornithine	0.2111	950	4500	Gamma	True Positive	1
L-phenylalanine	0.6677	10483	15700	Gamma	True Positive	1
L-proline	0	0	3700	Gamma	True Positive	1
L-pyroglutamic acid	0.0032	50	15850	Gamma	True Positive	1
L-serine	0.1493	2889	19350	Gamma	True Positive	1
L-threonine	0.4606	9166	19900	Gamma	True Positive	1
L-tyrosine major	0.0471	306	6500	Gamma	True Positive	1
L-tyrosine minor	0.0644	177	2750	Gamma	True Positive	1
L-valine	0.449	1504	3350	Gamma	True Positive	1
lactic acid	0.4461	736	1650	Gamma	True Positive	1
oxalic acid	0.6645	5515	8300	Gamma	True Positive	1
sucrose	0.4616	1731	3750	Gamma	True Positive	1
phosphoric acid	0.9325	11750	12600	Gamma	True Positive	5
propylene glycol	1	2200	2200	Gamma	True Positive	5
myristic acid	0.7871	8422	10700	Gamma	True Positive	5
2-hydroxybutyric acid	0.8946	11675	13050	Gamma	True Positive	5
uracil	0.788	3270	4150	Gamma	True Positive	5
uric acid 1	0.4562	730	1600	Gamma	True Positive	5
urea	0.6747	2800	4150	Gamma	True Positive	5
isocitric acid	0.5941	1010	1700	Gamma	True Positive	5
galactonic acid	0.7357	1361	1850	Gamma	True Positive	5
2-ketocaproic acid	0.766	1800	2350	Gamma	True Positive	5
glycine-d5 deuterated	0.4106	657	1600	Gamma	True Positive	5
catechol	0.9545	2100	2200	Gamma	True Positive	5
glyceric acid	0.99	14800	14950	Gamma	True Positive	5
citramalic acid	0.7667	2300	3000	Gamma	True Positive	5
trans-aconitic acid	0.5667	3400	6000	Gamma	True Positive	5
fumaric acid	0.8027	2047	2550	Gamma	True Positive	5
oleic acid	0.9613	1442	1500	Gamma	True Positive	5
hippuric acid 2	0.2188	350	1600	Gamma	True Positive	5
linoleic acid	0.8653	1298	1500	Gamma	True Positive	5
stearic acid	0.9333	1400	1500	Gamma	True Positive	5
Creatinine	0.6918	10065	14550	Gamma	True Positive	5
D-mannitol	0.7827	10605	13550	Gamma	True Positive	5
DL-3-aminoisobutyric acid 2	0.8969	1749	1950	Gamma	True Positive	5
norvaline 2	0.9388	3004	3200	Gamma	True Positive	5
7-methylxanthine	0.7151	1895	2650	Gamma	True Positive	5
xylitol	0.7122	9899	13900	Gamma	True Positive	5
glycerol	0.908	11350	12500	Gamma	True Positive	5
carbonate ion	0.897	9598	10700	Gamma	True Positive	5
iminodiacetic acid 2	0.8333	1250	1500	Gamma	True Positive	5
myo-inositol	0.8917	10433	11700	Gamma	True Positive	5
scyllo-inositol	0.904	11300	12500	Gamma	True Positive	5
arabitol	0.8333	1750	2100	Gamma	True Positive	5
palmitic acid	0.8523	4091	4800	Gamma	True Positive	5
galactitol	0.8384	9600	11450	Gamma	True Positive	5
D-gluconic acid 3	0.8286	1823	2200	Gamma	True Positive	5
erythritol	0.686	10050	14650	Gamma	True Positive	5
D-threitol	0.8286	11600	14000	Gamma	True Positive	5
D-saccharic acid	0.8238	1318	1600	Gamma	True Positive	5
D-galacturonic acid 1(M)	0.8406	1303	1550	Gamma	True Positive	5
IS benzoic acid d5	0.8411	10892	12950	Gamma	True Positive	5
IS citric acid d4	0.6102	1800	2950	Gamma	True Positive	5
IS D-fructose 13C6 1(M)	0.0526	150	2850	Gamma	True Positive	5
IS D-fructose 13C6 2	0.2045	450	2200	Gamma	True Positive	5
IS L-alanine d7	0.9927	13650	13750	Gamma	True Positive	5
IS octanoic acid d15	0.8703	11053	12700	Gamma	True Positive	5
IS L-tryptophan d5 1	1	4400	4400	Gamma	True Positive	5
IS L-tryptophan d5 2	0.8176	12100	14800	Gamma	True Positive	5
N-formylglycine 2	0.8748	1356	1550	Gamma	True Positive	5
6-hydroxy-alpha-methylnaphthaleneacetic acid	1	1500	1500	Gamma	True Positive	5
D-ribose	0.9411	3482	3700	Gamma	True Positive	5
D-xylose 2	0.7082	3541	5000	Gamma	True Positive	5
D-arabinose	0.4111	1850	4500	Gamma	True Positive	5
D-lyxose 2	0.0058	60	10400	Gamma	True Positive	5
lactose 2	0	0	1600	Gamma	True Positive	5
ribitol	0.5775	2772	4800	Gamma	True Positive	5
4-hydroxyphenylacetic acid	0.7949	1550	1950	Gamma	True Positive	5
citric acid	0.7985	10221	12800	Gamma	True Positive	5
D-fructose major	0.8439	11097	13150	Gamma	True Positive	5
D-fructose minor	0.5514	1544	2800	Gamma	True Positive	5
D-galactose	0.6298	1921	3050	Gamma	True Positive	5
D-glucose major	0.4139	3456	8350	Gamma	True Positive	5
D-glucose minor	0.5479	8300	15150	Gamma	True Positive	5
D-mannose	0.84	1974	2350	Gamma	True Positive	5
ethanolamine	0.8411	10303	12250	Gamma	True Positive	5
glycine	0.5669	4422	7800	Gamma	True Positive	5
L-alanine	0.9999	11799	11800	Gamma	True Positive	5
L-aspartic acid	0.5312	850	1600	Gamma	True Positive	5
L-cysteine	0.7677	1497	1950	Gamma	True Positive	5
L-glutamic acid	0.8693	5042	5800	Gamma	True Positive	5
L-glutamine major	0.69	10453	15150	Gamma	True Positive	5
L-glutamine minor 2	0.8435	10080	11950	Gamma	True Positive	5
L-isoleucine	0.877	14734	16800	Gamma	True Positive	5
L-leucine	0.8866	10950	12350	Gamma	True Positive	5
L-lysine	0.4533	748	1650	Gamma	True Positive	5
L-methionine	0.6615	2150	3250	Gamma	True Positive	5
L-ornithine	0.8009	3604	4500	Gamma	True Positive	5
L-phenylalanine	0.9331	14650	15700	Gamma	True Positive	5
L-proline	0.8865	3280	3700	Gamma	True Positive	5
L-pyroglutamic acid	0.4863	7708	15850	Gamma	True Positive	5
L-serine	0.8791	17010	19350	Gamma	True Positive	5
L-threonine	0.5606	11156	19900	Gamma	True Positive	5
L-tyrosine major	0.466	3029	6500	Gamma	True Positive	5
L-tyrosine minor	0.6898	1897	2750	Gamma	True Positive	5
L-valine	0.9639	3229	3350	Gamma	True Positive	5
lactic acid	1	1650	1650	Gamma	True Positive	5
oxalic acid	0.8373	6950	8300	Gamma	True Positive	5
sucrose	0.9467	3550	3750	Gamma	True Positive	5
myristic acid	0	0	500	Gamma	True Negative	1
2-hydroxybutyric acid	0	0	850	Gamma	True Negative	1
uracil	0	0	1250	Gamma	True Negative	1
uric acid 1	0	0	300	Gamma	True Negative	1
urea	0.0748	101	1350	Gamma	True Negative	1
isocitric acid	0	0	400	Gamma	True Negative	1
galactonic acid	0	0	100	Gamma	True Negative	1
2-ketocaproic acid	0	0	1300	Gamma	True Negative	1
glycine-d5 deuterated	0	0	2000	Gamma	True Negative	1
catechol	0	0	1600	Gamma	True Negative	1
glyceric acid	0	0	1400	Gamma	True Negative	1
citramalic acid	0	0	450	Gamma	True Negative	1
trans-aconitic acid	0	0	450	Gamma	True Negative	1
fumaric acid	0	0	750	Gamma	True Negative	1
oleic acid	0	0	250	Gamma	True Negative	1
hippuric acid 2	0	0	500	Gamma	True Negative	1
linoleic acid	0	0	200	Gamma	True Negative	1
stearic acid	0.228	57	250	Gamma	True Negative	1
Creatinine	0	0	600	Gamma	True Negative	1
D-mannitol	0	0	1700	Gamma	True Negative	1
DL-3-aminoisobutyric acid 2	0	0	400	Gamma	True Negative	1
norvaline 2	0	0	800	Gamma	True Negative	1
7-methylxanthine	0	0	300	Gamma	True Negative	1
xylitol	0	0	450	Gamma	True Negative	1
iminodiacetic acid 2	0	0	1400	Gamma	True Negative	1
myo-inositol	0	0	150	Gamma	True Negative	1
scyllo-inositol	0	0	300	Gamma	True Negative	1
arabitol	0	0	600	Gamma	True Negative	1
palmitic acid	0	0	50	Gamma	True Negative	1
galactitol	0	0	1250	Gamma	True Negative	1
D-gluconic acid 3	0	0	100	Gamma	True Negative	1
erythritol	0	0	1300	Gamma	True Negative	1
D-threitol	0	0	1700	Gamma	True Negative	1
D-saccharic acid	0	0	250	Gamma	True Negative	1
D-galacturonic acid 1(M)	0	0	1500	Gamma	True Negative	1
IS benzoic acid d5	0	0	9000	Gamma	True Negative	1
IS citric acid d4	0	0	4000	Gamma	True Negative	1
IS D-fructose 13C6 1(M)	3e-04	4	12200	Gamma	True Negative	1
IS D-fructose 13C6 2	0	0	13200	Gamma	True Negative	1
IS L-alanine d7	0.0902	415	4600	Gamma	True Negative	1
IS octanoic acid d15	0	0	9150	Gamma	True Negative	1
IS L-tryptophan d5 1	0	0	3550	Gamma	True Negative	1
IS L-tryptophan d5 2	0.1243	435	3500	Gamma	True Negative	1
N-formylglycine 2	0	0	1050	Gamma	True Negative	1
6-hydroxy-alpha-methylnaphthaleneacetic acid	0	0	200	Gamma	True Negative	1
D-ribose	0	0	200	Gamma	True Negative	1
D-xylose 2	0	0	100	Gamma	True Negative	1
D-arabinose	0	0	100	Gamma	True Negative	1
D-lyxose 2	0	0	2550	Gamma	True Negative	1
lactose 2	0	0	50	Gamma	True Negative	1
ribitol	0	0	150	Gamma	True Negative	1
4-hydroxyphenylacetic acid	0	0	2900	Gamma	True Negative	1
citric acid	0	0	400	Gamma	True Negative	1
D-fructose major	0	0	1050	Gamma	True Negative	1
D-fructose minor	0	0	950	Gamma	True Negative	1
D-galactose	0	0	700	Gamma	True Negative	1
D-glucose major	0	0	800	Gamma	True Negative	1
D-glucose minor	0.0667	50	750	Gamma	True Negative	1
D-mannose	0	0	550	Gamma	True Negative	1
ethanolamine	0.0303	50	1650	Gamma	True Negative	1
glycine	0	0	550	Gamma	True Negative	1
L-aspartic acid	0	0	200	Gamma	True Negative	1
L-cysteine	0	0	300	Gamma	True Negative	1
L-glutamic acid	0	0	350	Gamma	True Negative	1
L-glutamine minor 2	0	0	450	Gamma	True Negative	1
L-isoleucine	0	0	650	Gamma	True Negative	1
L-leucine	0	0	400	Gamma	True Negative	1
L-lysine	0	0	650	Gamma	True Negative	1
L-methionine	0	0	350	Gamma	True Negative	1
L-phenylalanine	0	0	250	Gamma	True Negative	1
L-proline	0.06	39	650	Gamma	True Negative	1
L-pyroglutamic acid	0	0	250	Gamma	True Negative	1
L-serine	0	0	100	Gamma	True Negative	1
L-threonine	0	0	100	Gamma	True Negative	1
L-tyrosine major	0	0	850	Gamma	True Negative	1
L-tyrosine minor	0	0	350	Gamma	True Negative	1
lactic acid	0	0	100	Gamma	True Negative	1
oxalic acid	0	0	800	Gamma	True Negative	1
myristic acid	0	0	500	Gamma	True Negative	5
2-hydroxybutyric acid	0	0	850	Gamma	True Negative	5
uracil	0	0	1250	Gamma	True Negative	5
uric acid 1	0	0	300	Gamma	True Negative	5
urea	0.8519	1150	1350	Gamma	True Negative	5
isocitric acid	0	0	400	Gamma	True Negative	5
galactonic acid	0	0	100	Gamma	True Negative	5
2-ketocaproic acid	0	0	1300	Gamma	True Negative	5
glycine-d5 deuterated	0.043	86	2000	Gamma	True Negative	5
catechol	0	0	1600	Gamma	True Negative	5
glyceric acid	0	0	1400	Gamma	True Negative	5
citramalic acid	0	0	450	Gamma	True Negative	5
trans-aconitic acid	0	0	450	Gamma	True Negative	5
fumaric acid	0	0	750	Gamma	True Negative	5
oleic acid	0	0	250	Gamma	True Negative	5
hippuric acid 2	0	0	500	Gamma	True Negative	5
linoleic acid	0.25	50	200	Gamma	True Negative	5
stearic acid	0.4	100	250	Gamma	True Negative	5
Creatinine	0	0	600	Gamma	True Negative	5
D-mannitol	0	0	1700	Gamma	True Negative	5
DL-3-aminoisobutyric acid 2	0	0	400	Gamma	True Negative	5
norvaline 2	0.29	232	800	Gamma	True Negative	5
7-methylxanthine	0	0	300	Gamma	True Negative	5
xylitol	0	0	450	Gamma	True Negative	5
iminodiacetic acid 2	0	0	1400	Gamma	True Negative	5
myo-inositol	0	0	150	Gamma	True Negative	5
scyllo-inositol	0	0	300	Gamma	True Negative	5
arabitol	0	0	600	Gamma	True Negative	5
palmitic acid	0	0	50	Gamma	True Negative	5
galactitol	0	0	1250	Gamma	True Negative	5
D-gluconic acid 3	0	0	100	Gamma	True Negative	5
erythritol	0	0	1300	Gamma	True Negative	5
D-threitol	0	0	1700	Gamma	True Negative	5
D-saccharic acid	0	0	250	Gamma	True Negative	5
D-galacturonic acid 1(M)	0.028	42	1500	Gamma	True Negative	5
IS benzoic acid d5	0.0111	100	9000	Gamma	True Negative	5
IS citric acid d4	0.0135	54	4000	Gamma	True Negative	5
IS D-fructose 13C6 1(M)	0.0146	178	12200	Gamma	True Negative	5
IS D-fructose 13C6 2	0.0295	390	13200	Gamma	True Negative	5
IS L-alanine d7	0.1848	850	4600	Gamma	True Negative	5
IS octanoic acid d15	0.0271	248	9150	Gamma	True Negative	5
IS L-tryptophan d5 1	0	0	3550	Gamma	True Negative	5
IS L-tryptophan d5 2	0.2571	900	3500	Gamma	True Negative	5
N-formylglycine 2	0	0	1050	Gamma	True Negative	5
6-hydroxy-alpha-methylnaphthaleneacetic acid	0	0	200	Gamma	True Negative	5
D-ribose	0	0	200	Gamma	True Negative	5
D-xylose 2	0	0	100	Gamma	True Negative	5
D-arabinose	0	0	100	Gamma	True Negative	5
D-lyxose 2	0	0	2550	Gamma	True Negative	5
lactose 2	0	0	50	Gamma	True Negative	5
ribitol	0	0	150	Gamma	True Negative	5
4-hydroxyphenylacetic acid	0	0	2900	Gamma	True Negative	5
citric acid	0	0	400	Gamma	True Negative	5
D-fructose major	0.0476	50	1050	Gamma	True Negative	5
D-fructose minor	0	0	950	Gamma	True Negative	5
D-galactose	0	0	700	Gamma	True Negative	5
D-glucose major	0.1825	146	800	Gamma	True Negative	5
D-glucose minor	0.2667	200	750	Gamma	True Negative	5
D-mannose	0	0	550	Gamma	True Negative	5
ethanolamine	0.3812	629	1650	Gamma	True Negative	5
glycine	0	0	550	Gamma	True Negative	5
L-aspartic acid	0	0	200	Gamma	True Negative	5
L-cysteine	0	0	300	Gamma	True Negative	5
L-glutamic acid	0	0	350	Gamma	True Negative	5
L-glutamine minor 2	0	0	450	Gamma	True Negative	5
L-isoleucine	0.1538	100	650	Gamma	True Negative	5
L-leucine	0.25	100	400	Gamma	True Negative	5
L-lysine	0	0	650	Gamma	True Negative	5
L-methionine	0	0	350	Gamma	True Negative	5
L-phenylalanine	0	0	250	Gamma	True Negative	5
L-proline	0.1538	100	650	Gamma	True Negative	5
L-pyroglutamic acid	0	0	250	Gamma	True Negative	5
L-serine	0	0	100	Gamma	True Negative	5
L-threonine	0	0	100	Gamma	True Negative	5
L-tyrosine major	0	0	850	Gamma	True Negative	5
L-tyrosine minor	0.2857	100	350	Gamma	True Negative	5
lactic acid	0.23	23	100	Gamma	True Negative	5
oxalic acid	0	0	800	Gamma	True Negative	5
phosphoric acid	0.5197	6548	12600	Logistic	True Positive	1
propylene glycol	0.8577	1887	2200	Logistic	True Positive	1
myristic acid	0	0	10700	Logistic	True Positive	1
2-hydroxybutyric acid	0.2299	3000	13050	Logistic	True Positive	1
uracil	0.3829	1589	4150	Logistic	True Positive	1
uric acid 1	0.32	512	1600	Logistic	True Positive	1
urea	0.0236	98	4150	Logistic	True Positive	1
isocitric acid	0.1176	200	1700	Logistic	True Positive	1
galactonic acid	0.0703	130	1850	Logistic	True Positive	1
2-ketocaproic acid	0.074	174	2350	Logistic	True Positive	1
glycine-d5 deuterated	0	0	1600	Logistic	True Positive	1
catechol	0.6191	1362	2200	Logistic	True Positive	1
glyceric acid	0.5467	8173	14950	Logistic	True Positive	1
citramalic acid	0	0	3000	Logistic	True Positive	1
trans-aconitic acid	0.4417	2650	6000	Logistic	True Positive	1
fumaric acid	0.098	250	2550	Logistic	True Positive	1
oleic acid	0	0	1500	Logistic	True Positive	1
hippuric acid 2	0.0988	158	1600	Logistic	True Positive	1
linoleic acid	0.102	153	1500	Logistic	True Positive	1
stearic acid	0.572	858	1500	Logistic	True Positive	1
Creatinine	0.3402	4950	14550	Logistic	True Positive	1
D-mannitol	0.2455	3326	13550	Logistic	True Positive	1
DL-3-aminoisobutyric acid 2	0	0	1950	Logistic	True Positive	1
norvaline 2	0.2369	758	3200	Logistic	True Positive	1
7-methylxanthine	0.2932	777	2650	Logistic	True Positive	1
xylitol	0.0144	200	13900	Logistic	True Positive	1
glycerol	0.553	6912	12500	Logistic	True Positive	1
carbonate ion	0.3346	3580	10700	Logistic	True Positive	1
iminodiacetic acid 2	0.7973	1196	1500	Logistic	True Positive	1
myo-inositol	0.692	8096	11700	Logistic	True Positive	1
scyllo-inositol	0.176	2200	12500	Logistic	True Positive	1
arabitol	0.0457	96	2100	Logistic	True Positive	1
palmitic acid	0.4408	2116	4800	Logistic	True Positive	1
galactitol	0.5679	6503	11450	Logistic	True Positive	1
D-gluconic acid 3	0.5459	1201	2200	Logistic	True Positive	1
erythritol	0	0	14650	Logistic	True Positive	1
D-threitol	0.0227	318	14000	Logistic	True Positive	1
D-saccharic acid	0.5938	950	1600	Logistic	True Positive	1
D-galacturonic acid 1(M)	0.3548	550	1550	Logistic	True Positive	1
IS benzoic acid d5	0.0083	108	12950	Logistic	True Positive	1
IS citric acid d4	0	0	2950	Logistic	True Positive	1
IS D-fructose 13C6 1(M)	0.0372	106	2850	Logistic	True Positive	1
IS D-fructose 13C6 2	0.0227	50	2200	Logistic	True Positive	1
IS L-alanine d7	0.7405	10182	13750	Logistic	True Positive	1
IS octanoic acid d15	0	0	12700	Logistic	True Positive	1
IS L-tryptophan d5 1	0.0011	5	4400	Logistic	True Positive	1
IS L-tryptophan d5 2	0	0	14800	Logistic	True Positive	1
N-formylglycine 2	0.1852	287	1550	Logistic	True Positive	1
6-hydroxy-alpha-methylnaphthaleneacetic acid	0	0	1500	Logistic	True Positive	1
D-ribose	0.1222	452	3700	Logistic	True Positive	1
D-xylose 2	0.24	1200	5000	Logistic	True Positive	1
D-arabinose	0.3876	1744	4500	Logistic	True Positive	1
D-lyxose 2	0	0	10400	Logistic	True Positive	1
lactose 2	0	0	1600	Logistic	True Positive	1
ribitol	0.124	595	4800	Logistic	True Positive	1
4-hydroxyphenylacetic acid	0	0	1950	Logistic	True Positive	1
citric acid	0	0	12800	Logistic	True Positive	1
D-fructose major	0.5846	7687	13150	Logistic	True Positive	1
D-fructose minor	0.0204	57	2800	Logistic	True Positive	1
D-galactose	3e-04	1	3050	Logistic	True Positive	1
D-glucose major	0.1078	900	8350	Logistic	True Positive	1
D-glucose minor	0.0165	250	15150	Logistic	True Positive	1
D-mannose	4e-04	1	2350	Logistic	True Positive	1
ethanolamine	0.0144	176	12250	Logistic	True Positive	1
glycine	0.1854	1446	7800	Logistic	True Positive	1
L-alanine	0.5417	6392	11800	Logistic	True Positive	1
L-aspartic acid	0	0	1600	Logistic	True Positive	1
L-cysteine	0.0056	11	1950	Logistic	True Positive	1
L-glutamic acid	0.3991	2315	5800	Logistic	True Positive	1
L-glutamine major	0.1785	2704	15150	Logistic	True Positive	1
L-glutamine minor 2	0.2552	3050	11950	Logistic	True Positive	1
L-isoleucine	0.8214	13800	16800	Logistic	True Positive	1
L-leucine	0.4581	5658	12350	Logistic	True Positive	1
L-lysine	0.2188	361	1650	Logistic	True Positive	1
L-methionine	0.6615	2150	3250	Logistic	True Positive	1
L-ornithine	0.2111	950	4500	Logistic	True Positive	1
L-phenylalanine	0.6401	10050	15700	Logistic	True Positive	1
L-proline	0.0324	120	3700	Logistic	True Positive	1
L-pyroglutamic acid	0.0032	50	15850	Logistic	True Positive	1
L-serine	0.065	1257	19350	Logistic	True Positive	1
L-threonine	0.1373	2733	19900	Logistic	True Positive	1
L-tyrosine major	0.0457	297	6500	Logistic	True Positive	1
L-tyrosine minor	0.0524	144	2750	Logistic	True Positive	1
L-valine	0.4501	1508	3350	Logistic	True Positive	1
lactic acid	0.537	886	1650	Logistic	True Positive	1
oxalic acid	0.6566	5450	8300	Logistic	True Positive	1
sucrose	0.5416	2031	3750	Logistic	True Positive	1
phosphoric acid	0.9323	11747	12600	Logistic	True Positive	5
propylene glycol	1	2200	2200	Logistic	True Positive	5
myristic acid	0.6649	7114	10700	Logistic	True Positive	5
2-hydroxybutyric acid	0.7984	10419	13050	Logistic	True Positive	5
uracil	0.7672	3184	4150	Logistic	True Positive	5
uric acid 1	0.5612	898	1600	Logistic	True Positive	5
urea	0.707	2934	4150	Logistic	True Positive	5
isocitric acid	0.5776	982	1700	Logistic	True Positive	5
galactonic acid	0.7022	1299	1850	Logistic	True Positive	5
2-ketocaproic acid	0.766	1800	2350	Logistic	True Positive	5
glycine-d5 deuterated	0.2262	362	1600	Logistic	True Positive	5
catechol	0.9545	2100	2200	Logistic	True Positive	5
glyceric acid	0.9755	14584	14950	Logistic	True Positive	5
citramalic acid	0.7667	2300	3000	Logistic	True Positive	5
trans-aconitic acid	0.5088	3053	6000	Logistic	True Positive	5
fumaric acid	0.7718	1968	2550	Logistic	True Positive	5
oleic acid	0.9613	1442	1500	Logistic	True Positive	5
hippuric acid 2	0.2188	350	1600	Logistic	True Positive	5
linoleic acid	0.8333	1250	1500	Logistic	True Positive	5
stearic acid	0.9333	1400	1500	Logistic	True Positive	5
Creatinine	0.5901	8586	14550	Logistic	True Positive	5
D-mannitol	0.7717	10456	13550	Logistic	True Positive	5
DL-3-aminoisobutyric acid 2	0.8969	1749	1950	Logistic	True Positive	5
norvaline 2	0.9375	3000	3200	Logistic	True Positive	5
7-methylxanthine	0.6974	1848	2650	Logistic	True Positive	5
xylitol	0.705	9800	13900	Logistic	True Positive	5
glycerol	0.908	11350	12500	Logistic	True Positive	5
carbonate ion	0.8868	9489	10700	Logistic	True Positive	5
iminodiacetic acid 2	0.8333	1250	1500	Logistic	True Positive	5
myo-inositol	0.8012	9374	11700	Logistic	True Positive	5
scyllo-inositol	0.8131	10164	12500	Logistic	True Positive	5
arabitol	0.05	105	2100	Logistic	True Positive	5
palmitic acid	0.805	3864	4800	Logistic	True Positive	5
galactitol	0.8384	9600	11450	Logistic	True Positive	5
D-gluconic acid 3	0.8173	1798	2200	Logistic	True Positive	5
erythritol	0.686	10050	14650	Logistic	True Positive	5
D-threitol	0.815	11410	14000	Logistic	True Positive	5
D-saccharic acid	0.6419	1027	1600	Logistic	True Positive	5
D-galacturonic acid 1(M)	0.8877	1376	1550	Logistic	True Positive	5
